                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5039,                 3.2048,                 12.466,                 1.6896,                 0.8403,                0.20413,                0.24954,                 0.1264,                0.82255,                0.19982,                0.23256,                0.07889,                 2.5644,                 2.9551,                 3.2186,                 1.8561,             0.00066533,             0.00066533,             0.00066533
                      2,                 2.6136,                 3.0939,                 3.5676,                 1.7329,                0.71874,                0.27155,                0.26749,                0.10047,                0.66147,                0.24138,                0.24249,                0.08408,                 2.3894,                  2.489,                 4.9851,                 1.7261,              0.0013188,              0.0013188,              0.0013188
                      3,                 2.4721,                 2.9809,                 3.1174,                 1.6599,                0.90649,                0.28017,                0.34499,                  0.179,                0.89838,                0.27586,                0.34166,                 0.1342,                 2.2033,                 2.3985,                 2.5148,                 1.6956,              0.0019591,              0.0019591,              0.0019591
                      4,                 2.4252,                 2.8987,                 2.9035,                 1.6292,                 0.5455,                0.32076,                0.34189,                0.15182,                0.68737,                0.28017,                0.32992,                0.09483,                 2.3024,                 2.6578,                 3.4244,                  1.681,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.3439,                 2.7883,                 2.6738,                 1.5802,                0.63596,                0.39224,                0.41299,                0.16606,                0.62199,                0.38362,                0.41346,                 0.1603,                 2.3332,                 2.3018,                 2.3689,                 1.7209,              0.0019208,              0.0019208,              0.0019208
                      6,                  2.222,                  2.707,                  2.498,                 1.5068,                 0.6673,                0.40517,                0.44197,                0.21393,                 0.5762,                0.40948,                0.42212,                0.16806,                  2.003,                 2.1224,                 2.1951,                 1.5374,               0.001901,               0.001901,               0.001901
                      7,                 2.1791,                 2.5976,                 2.3563,                 1.4991,                0.70169,                0.46121,                0.52775,                0.24617,                0.68483,                0.47845,                0.52277,                0.20309,                 2.0228,                 2.0816,                 1.9209,                 1.5784,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.1276,                 2.5424,                 2.2021,                    1.5,                0.70921,                0.51511,                0.54121,                0.25346,                 0.6528,                0.47414,                0.46647,                0.16241,                 1.9183,                 2.1313,                 2.0908,                 1.5196,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1408,                  2.509,                 2.1692,                 1.4843,                0.66548,                0.46552,                0.53507,                0.24194,                0.66174,                 0.4569,                  0.513,                0.19303,                 1.9588,                 2.0025,                 1.6989,                 1.5296,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0503,                 2.4473,                 2.0191,                 1.4393,                0.72153,                0.46983,                0.55113,                0.24668,                0.70076,                0.46432,                0.52073,                 0.1841,                 1.8626,                 2.0207,                 1.7341,                 1.4902,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0054,                 2.4078,                   2.03,                 1.4334,                0.67198,                0.57396,                0.61751,                0.29032,                0.63669,                0.56897,                0.58497,                0.21209,                 1.7841,                 1.9731,                 1.6406,                 1.4233,               0.001802,               0.001802,               0.001802
                     12,                 1.9916,                 2.4119,                 1.9551,                 1.4257,                0.68625,                0.46552,                0.55233,                0.26466,                0.68769,                0.46121,                 0.5407,                0.19605,                 1.8055,                 1.9366,                 1.7007,                 1.4526,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.9666,                 2.3509,                 1.9214,                 1.4114,                 0.7598,                0.51724,                0.62794,                0.31525,                0.74971,                0.51645,                0.62189,                0.22392,                 1.7685,                 1.9362,                 1.5515,                 1.4177,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.9579,                  2.381,                 1.8241,                 1.3923,                0.75652,                0.52586,                0.59124,                0.25757,                0.74018,                0.51724,                0.56819,                0.18709,                 1.8733,                 1.8873,                 1.6083,                 1.4775,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.923,                 2.2642,                  1.795,                 1.3758,                0.62489,                0.58882,                0.62324,                0.31004,                0.72512,                0.51169,                0.60856,                0.22162,                  1.776,                 1.8498,                 1.4735,                 1.4276,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.881,                 2.2317,                 1.6996,                 1.3742,                0.73689,                 0.5431,                0.66788,                0.33285,                0.70452,                0.57553,                0.66165,                0.25535,                 1.8126,                 1.8141,                 1.4616,                 1.4545,               0.001703,               0.001703,               0.001703
                     17,                 1.8671,                 2.2362,                 1.7154,                 1.3511,                0.67261,                0.55603,                0.62481,                0.30619,                0.70485,                 0.5431,                0.60553,                0.23779,                 1.7093,                 1.8077,                 1.5289,                 1.3804,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.8392,                 2.2188,                 1.5988,                 1.3227,                0.71948,                0.57328,                0.66858,                0.31821,                0.70742,                0.56466,                0.62771,                0.20798,                 1.7641,                 1.8712,                 1.4611,                 1.4172,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.8414,                 2.1407,                 1.6432,                 1.3392,                0.63488,                0.59914,                0.65878,                0.33273,                0.65943,                0.59483,                0.63585,                0.23235,                 1.6734,                 1.7826,                 1.4161,                 1.3862,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.7944,                 2.2081,                 1.5802,                 1.3102,                0.70736,                0.61638,                0.71272,                0.36001,                0.72759,                0.61017,                0.67973,                0.27574,                 1.6752,                 1.7492,                 1.3949,                 1.3716,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.818,                 2.1292,                 1.5332,                 1.3351,                0.73385,                  0.625,                0.72227,                0.35469,                0.72159,                0.61207,                0.68884,                0.26548,                 1.7136,                 1.6937,                 1.4179,                 1.3998,               0.001604,               0.001604,               0.001604
                     22,                 1.7977,                  2.079,                 1.5228,                 1.3154,                0.75241,                0.57328,                0.67328,                0.33699,                0.77421,                0.51728,                0.63585,                0.26157,                 1.7044,                 1.7708,                 1.4064,                  1.375,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8037,                   2.08,                 1.5455,                 1.3307,                0.74725,                0.65948,                0.73427,                0.35929,                0.70868,                0.61864,                0.68414,                0.26329,                 1.6787,                 1.7531,                 1.4153,                 1.3666,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.7574,                 2.0517,                 1.4742,                 1.2868,                0.76013,                0.65517,                0.73704,                0.37052,                0.76908,                0.67473,                0.73411,                0.28614,                 1.6482,                 1.6932,                  1.296,                 1.3637,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.754,                 2.0334,                 1.4191,                 1.3061,                0.77833,                0.63793,                0.73078,                0.32955,                0.72254,                0.61638,                0.63718,                0.22232,                 1.7039,                 1.7595,                 1.3311,                 1.3867,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.7333,                 2.0544,                 1.4049,                 1.2829,                 0.7538,                  0.625,                0.72783,                0.36459,                0.71702,                0.58976,                 0.6841,                0.26337,                 1.6822,                 1.7376,                 1.3548,                 1.3656,               0.001505,               0.001505,               0.001505
                     27,                 1.7451,                 2.0131,                 1.4145,                 1.2933,                0.78388,                0.64099,                 0.7366,                0.36085,                0.73974,                0.64224,                0.70093,                0.24154,                 1.6994,                 1.7167,                 1.3457,                  1.391,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.7296,                 2.0061,                 1.4218,                 1.2796,                0.72284,                0.63362,                 0.7362,                 0.3501,                0.70099,                0.61638,                0.69645,                0.26858,                 1.6492,                 1.7059,                 1.2723,                 1.3605,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.7185,                 2.0104,                 1.4224,                 1.2868,                0.80711,                 0.6681,                0.74452,                0.37637,                0.72137,                0.65086,                0.68965,                0.25524,                 1.6417,                 1.7268,                 1.3165,                 1.3652,              0.0014456,              0.0014456,              0.0014456
                     30,                  1.701,                 2.0176,                 1.4063,                 1.2719,                0.65335,                0.70259,                0.71052,                0.36466,                0.65087,                0.71121,                0.69669,                 0.2656,                 1.6043,                 1.6753,                 1.2756,                 1.3291,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.684,                 1.9465,                 1.4081,                 1.2794,                0.74493,                0.65948,                0.74153,                0.37695,                0.73519,                0.65086,                0.70176,                0.25374,                 1.5848,                 1.7059,                 1.2718,                 1.3261,               0.001406,               0.001406,               0.001406
                     32,                 1.6941,                 1.9477,                 1.3672,                 1.2713,                0.69713,                0.66472,                0.71154,                0.33997,                 0.6867,                0.64224,                0.68874,                0.24882,                 1.5707,                 1.6821,                 1.2672,                 1.3224,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.6819,                 1.9246,                 1.3429,                 1.2708,                0.68763,                0.69828,                0.67528,                0.34212,                0.67168,                0.68783,                0.66524,                0.24797,                 1.5557,                 1.6537,                 1.3208,                 1.3374,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.6642,                 1.9447,                 1.2894,                 1.2585,                0.76245,                  0.625,                0.74467,                0.37591,                0.77823,                0.63793,                0.71954,                0.26506,                 1.6083,                 1.7126,                 1.2703,                 1.3395,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.6821,                  1.915,                 1.3158,                 1.2382,                0.72697,                0.72303,                0.76709,                0.38657,                0.79333,                0.65948,                0.73062,                0.27312,                 1.5409,                  1.619,                 1.2065,                 1.3049,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6364,                  1.939,                 1.2671,                 1.2475,                0.71123,                 0.7069,                0.75839,                0.38608,                0.75446,                0.70193,                0.74139,                 0.2653,                 1.5626,                 1.6706,                  1.188,                 1.3218,               0.001307,               0.001307,               0.001307
                     37,                 1.6629,                 1.8696,                 1.2838,                 1.2536,                0.78518,                 0.7069,                 0.7732,                 0.3941,                0.78766,                0.72414,                0.75492,                0.28931,                 1.6431,                 1.6372,                 1.2232,                 1.3638,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6422,                 1.9078,                 1.2368,                 1.2412,                0.81051,                0.70058,                0.79004,                0.39106,                0.79036,                0.68254,                0.74724,                0.27939,                 1.5909,                 1.6607,                 1.2057,                 1.3371,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.6307,                  1.881,                  1.229,                 1.2363,                 0.8147,                0.71983,                 0.8032,                0.39475,                0.83785,                 0.7069,                 0.7807,                0.29517,                 1.5717,                 1.6291,                 1.1695,                 1.3158,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6426,                 1.8458,                 1.2294,                 1.2323,                0.78742,                 0.6546,                0.75166,                0.38682,                 0.7991,                0.68103,                 0.7437,                0.28805,                 1.5666,                 1.6199,                 1.2629,                  1.312,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.6238,                 1.8421,                  1.226,                  1.226,                0.75806,                0.68877,                0.75054,                  0.388,                0.78135,                0.68103,                0.70645,                0.27352,                  1.545,                 1.6411,                 1.2367,                 1.3027,               0.001208,               0.001208,               0.001208
                     42,                 1.6217,                 1.8491,                 1.1792,                 1.2283,                0.75963,                0.71552,                0.77082,                0.39831,                0.73138,                0.69397,                 0.7283,                0.28745,                 1.5588,                 1.6105,                 1.1836,                 1.2956,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6073,                 1.8383,                 1.1985,                 1.2212,                0.74933,                0.71121,                0.80171,                0.41073,                0.75479,                0.68994,                0.77544,                0.28933,                 1.5298,                 1.6287,                 1.1571,                 1.2885,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5851,                 1.8571,                 1.1785,                 1.1997,                0.73734,                0.77586,                0.77573,                0.39235,                0.70167,                0.72845,                0.69766,                0.24302,                 1.5766,                  1.698,                 1.1872,                 1.3228,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.584,                  1.836,                 1.1805,                  1.204,                0.78655,                0.70259,                0.77449,                0.39396,                0.79419,                0.69828,                0.77277,                0.28567,                 1.5427,                 1.6833,                 1.1481,                 1.2943,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5908,                 1.8198,                 1.1304,                 1.2086,                0.75519,                0.72845,                 0.7934,                0.41645,                0.73976,                0.69828,                0.74519,                0.26029,                 1.5101,                 1.8188,                 1.1496,                 1.2807,               0.001109,               0.001109,               0.001109
                     47,                 1.5558,                 1.8354,                 1.1585,                 1.2116,                0.70162,                0.76293,                0.75843,                0.39509,                0.67534,                0.71121,                0.68673,                0.24673,                 1.5309,                 1.9034,                 1.1982,                 1.2969,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5637,                 1.8091,                   1.16,                 1.2016,                0.78756,                0.71906,                0.79172,                0.42025,                0.75414,                0.69397,                0.71249,                0.24366,                 1.5125,                 1.8818,                 1.1263,                 1.2866,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.523,                  1.784,                 1.1208,                 1.1707,                 0.7722,                0.74138,                0.78444,                0.42129,                0.76305,                0.71983,                0.75517,                0.26577,                 1.5316,                 1.8624,                 1.1144,                 1.2858,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5381,                 1.7545,                 1.1057,                 1.1906,                0.75495,                0.81002,                  0.801,                0.41603,                0.73577,                0.76293,                0.76086,                0.26375,                 1.5134,                 1.8411,                 1.1146,                 1.2921,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.524,                 1.7579,                 1.0974,                  1.176,                0.73932,                0.77155,                0.78854,                0.42451,                0.66615,                0.67672,                0.68121,                0.22524,                 1.5435,                 1.9336,                 1.1769,                 1.3139,                0.00101,                0.00101,                0.00101
                     52,                 1.5172,                 1.7409,                 1.0819,                 1.1768,                0.76754,                0.73276,                0.79456,                0.41141,                0.69554,                0.67672,                0.70162,                0.22015,                 1.5572,                 2.0271,                 1.1214,                 1.3091,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4893,                 1.7361,                 1.0541,                 1.1649,                0.78465,                0.76956,                0.79419,                 0.4046,                0.67329,                0.68534,                0.68074,                0.20483,                 1.5173,                 2.0991,                 1.1709,                 1.2984,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4984,                 1.7679,                 1.0418,                 1.1866,                0.78076,                0.76749,                0.80548,                0.42291,                0.71966,                0.66379,                0.68953,                 0.2299,                 1.5364,                 2.0274,                 1.1064,                 1.2904,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5031,                 1.6909,                 1.0601,                 1.1738,                0.81058,                0.78879,                0.82959,                0.42575,                0.69746,                0.71544,                0.67328,                0.20545,                 1.4986,                 2.0578,                 1.0861,                 1.2855,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4802,                 1.7131,                 1.0323,                 1.1487,                0.80412,                0.78017,                0.82282,                0.42795,                0.71239,                0.64655,                0.65456,                0.20566,                 1.5219,                 2.3095,                 1.0554,                 1.2745,               0.000911,               0.000911,               0.000911
                     57,                 1.4923,                 1.7478,                 1.0313,                 1.1572,                0.75052,                0.82328,                0.81125,                0.41655,                0.61415,                0.67241,                0.62551,                0.17991,                 1.4796,                 2.3026,                 1.1124,                 1.2631,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.465,                 1.6751,                 1.0139,                 1.1584,                0.76459,                   0.77,                 0.7769,                0.42005,                0.72478,                0.68103,                0.67748,                0.21317,                 1.4831,                 2.1333,                 1.1088,                 1.2726,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4697,                  1.729,                 1.0197,                 1.1464,                0.83568,                0.72337,                0.80548,                0.42236,                0.75099,                0.66379,                0.66453,                0.21131,                 1.4773,                 2.1905,                  1.102,                 1.2725,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4601,                 1.6716,                 0.9799,                 1.1524,                 0.7988,                0.76724,                0.82373,                0.43104,                0.76799,                0.68534,                0.70114,                0.20638,                 1.5202,                 2.2408,                 1.1211,                 1.3037,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4581,                    1.7,                 1.0054,                 1.1546,                 0.7861,                0.74451,                0.81723,                0.44629,                0.76336,                0.68534,                 0.7375,                 0.2244,                 1.4855,                 2.1534,                 1.0853,                 1.2713,               0.000812,               0.000812,               0.000812
                     62,                 1.4318,                 1.6413,                0.95825,                 1.1385,                0.79567,                 0.7931,                0.84593,                 0.4485,                0.73619,                0.65086,                0.70113,                0.21499,                 1.4949,                 2.2431,                 1.0727,                 1.2867,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4295,                 1.6414,                0.96337,                  1.121,                0.80962,                0.78879,                0.82569,                0.43783,                0.73181,                0.67672,                0.67171,                0.19582,                 1.5072,                 2.2429,                 1.0463,                 1.2697,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4356,                 1.6536,                0.97853,                 1.1429,                0.72589,                0.76479,                0.79298,                0.39862,                0.65252,                0.61515,                0.58553,                0.17011,                 1.4811,                 2.2986,                 1.0973,                 1.2859,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4282,                 1.6224,                  0.969,                 1.1412,                0.80173,                0.80174,                0.84044,                0.45225,                0.63694,                0.61207,                0.58184,                0.14419,                  1.505,                  2.401,                 1.0431,                 1.2814,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4006,                  1.638,                0.94214,                 1.1167,                 0.7922,                0.80519,                0.82751,                0.43783,                0.67101,                0.67241,                0.63425,                0.18041,                 1.4916,                 2.3674,                   1.06,                 1.2787,               0.000713,               0.000713,               0.000713
                     67,                 1.4088,                 1.6251,                0.94095,                 1.1273,                0.80151,                0.78017,                0.84291,                0.44533,                0.69624,                0.66192,                0.64985,                 0.1963,                 1.4967,                 2.3277,                 0.9997,                 1.2758,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3784,                 1.6127,                0.90257,                  1.112,                0.79243,                0.82328,                0.84005,                0.44431,                0.65074,                0.62931,                0.61497,                0.17902,                 1.5475,                  2.402,                  1.003,                 1.3136,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4044,                 1.6165,                 0.9342,                 1.1252,                0.78804,                0.78879,                0.82329,                0.45047,                0.68123,                0.62638,                0.64647,                0.18111,                 1.4871,                 2.4048,                      1,                 1.2821,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3739,                  1.614,                0.93707,                 1.1022,                0.82109,                0.77149,                0.84941,                0.45167,                0.68347,                0.62359,                0.62346,                0.16015,                 1.4817,                 2.4316,                 1.0321,                 1.2754,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4063,                 1.5678,                0.90801,                 1.1295,                0.82328,                0.78313,                0.85459,                0.44727,                 0.6706,                0.59914,                0.58127,                0.17576,                 1.4841,                 2.3988,                 1.0058,                 1.2817,               0.000614,               0.000614,               0.000614
                     72,                 1.3702,                  1.562,                0.90441,                 1.1135,                0.80556,                0.78879,                0.84657,                0.43459,                0.63426,                0.62069,                0.55989,                0.14243,                 1.5247,                 2.4326,                 1.0361,                 1.2964,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3121,                 1.5355,                0.85294,                 1.0939,                0.79518,                0.81897,                0.84999,                0.46602,                0.66222,                0.60776,                0.57525,                0.18527,                 1.4842,                 2.4305,                0.99873,                 1.2606,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3385,                 1.5828,                0.90156,                 1.0906,                0.83037,                0.79741,                0.84958,                0.44927,                0.62623,                0.59914,                0.55196,                0.14788,                 1.4772,                 2.4762,                  1.005,                 1.2916,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3412,                 1.6054,                0.87563,                 1.0939,                0.79446,                0.81034,                0.83803,                 0.4526,                0.59721,                0.55172,                0.48172,                0.12871,                 1.4803,                 2.5796,                0.98676,                 1.2778,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3252,                 1.5706,                0.87691,                 1.0822,                0.83106,                0.77155,                 0.8376,                0.45221,                  0.645,                0.56387,                0.53085,                0.14716,                 1.4641,                 2.5378,                 0.9728,                  1.266,               0.000515,               0.000515,               0.000515
                     77,                 1.3329,                 1.5377,                0.86175,                 1.0784,                0.80936,                0.78689,                0.83366,                0.45006,                0.64744,                0.62069,                0.57157,                0.15328,                 1.5029,                 2.4722,                0.98812,                  1.287,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.334,                 1.5554,                0.86182,                 1.0958,                0.79888,                0.83897,                0.84789,                0.45805,                0.67703,                0.61207,                0.62576,                0.17577,                 1.4641,                 2.4233,                0.96079,                 1.2832,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3104,                  1.528,                0.83954,                 1.0807,                0.84371,                0.76787,                0.83707,                0.46112,                0.71751,                0.60776,                0.58098,                 0.1666,                 1.4728,                 2.4262,                0.99655,                 1.2904,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2971,                 1.5024,                0.84313,                 1.0882,                0.82055,                0.76866,                0.84512,                0.46801,                0.64383,                0.57759,                 0.5279,                0.15176,                 1.5159,                 2.4661,                0.96917,                 1.2964,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2863,                  1.532,                0.82617,                 1.0885,                0.78536,                0.82013,                0.82245,                 0.4459,                 0.6297,                0.65086,                0.54487,                0.15644,                 1.4724,                 2.3453,                0.98824,                 1.2692,               0.000416,               0.000416,               0.000416
                     82,                 1.2998,                 1.5399,                0.80806,                 1.0713,                0.84171,                0.77928,                0.84645,                 0.4623,                0.67437,                0.59052,                0.56863,                0.15931,                 1.4673,                 2.4215,                0.98343,                 1.2738,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2763,                 1.5119,                0.79449,                 1.0542,                0.81462,                0.77657,                0.83802,                 0.4587,                0.61405,                0.62931,                0.53479,                0.15221,                 1.4666,                 2.3896,                0.96753,                 1.2864,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2452,                 1.4497,                0.77303,                 1.0486,                 0.8481,                0.77012,                0.84898,                0.46478,                0.66472,                0.59483,                0.57281,                0.15432,                 1.4787,                 2.4336,                0.97644,                 1.2783,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2766,                 1.4825,                0.79339,                 1.0814,                0.84672,                0.78576,                0.84218,                0.47083,                0.67155,                0.59052,                0.55507,                0.15827,                 1.4385,                 2.3551,                0.95359,                 1.2627,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2301,                   1.46,                0.76579,                 1.0417,                0.84447,                0.77231,                0.84703,                0.46544,                0.62167,                0.61638,                0.53742,                0.14557,                 1.4662,                 2.4471,                0.98931,                 1.2794,               0.000317,               0.000317,               0.000317
                     87,                 1.2563,                 1.4965,                0.79734,                 1.0707,                0.86425,                0.82327,                0.85675,                 0.4742,                0.71005,                0.67557,                0.61157,                0.17337,                 1.4523,                 2.3187,                0.94339,                 1.2678,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2317,                  1.457,                0.77412,                 1.0369,                0.82385,                0.78879,                0.83833,                0.45937,                0.66059,                0.59483,                0.51918,                0.13538,                 1.4728,                 2.3999,                0.94407,                 1.2836,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2225,                 1.4352,                 0.7594,                 1.0419,                 0.8377,                0.79741,                0.85593,                0.48445,                0.69015,                0.64224,                0.62712,                 0.1774,                 1.4684,                 2.3775,                0.95853,                  1.288,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2551,                 1.4514,                0.78232,                 1.0549,                0.82975,                0.81466,                0.85487,                0.47454,                0.68721,                0.61638,                 0.5774,                0.15689,                 1.4669,                 2.4353,                0.95822,                 1.2818,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1845,                 1.4038,                0.74248,                 1.0847,                0.85434,                0.78372,                0.84404,                0.47133,                0.65408,                0.65202,                0.56483,                0.15584,                 1.4865,                 2.4129,                0.92935,                 1.2911,               0.000218,               0.000218,               0.000218
                     92,                  1.164,                 1.3664,                0.74655,                 1.0757,                0.84563,                 0.7931,                0.84021,                0.47122,                0.64463,                0.65086,                0.58088,                0.16615,                 1.4832,                 2.3445,                0.93681,                  1.292,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1572,                 1.3549,                0.71898,                  1.077,                0.83733,                0.79741,                0.84296,                 0.4631,                0.61801,                0.61207,                0.54718,                0.15159,                 1.4963,                 2.4135,                0.95632,                 1.3104,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1562,                 1.3839,                0.71798,                 1.0622,                0.83919,                 0.7931,                0.83932,                0.46239,                 0.6965,                 0.6232,                0.55845,                0.15383,                 1.4826,                 2.3875,                 0.9419,                 1.3079,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1319,                   1.36,                0.69896,                 1.0589,                0.87442,                0.78032,                0.85002,                0.47313,                0.66172,                0.59052,                0.54418,                0.14756,                 1.5075,                 2.4069,                0.94477,                 1.3203,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.131,                 1.3501,                0.69906,                 1.0598,                0.86487,                0.80603,                0.84609,                0.46946,                0.67328,                0.62179,                0.56634,                0.15172,                 1.4949,                 2.4137,                0.94957,                 1.3139,               0.000119,               0.000119,               0.000119
                     97,                  1.116,                 1.3457,                0.69334,                 1.0456,                0.88208,                0.78879,                0.84977,                0.47614,                0.71205,                0.61821,                0.58994,                0.15704,                 1.5046,                 2.3794,                0.92663,                 1.3191,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.1178,                 1.3272,                0.69387,                 1.0611,                0.89171,                0.78879,                0.85092,                 0.4813,                0.71361,                0.61219,                0.57467,                0.15718,                 1.4875,                 2.3336,                 0.9265,                 1.3136,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.0955,                 1.3242,                 0.6858,                 1.0411,                0.84757,                0.82328,                0.85151,                0.47757,                0.70583,                0.61207,                0.57551,                0.16069,                 1.4985,                 2.3283,                0.91909,                 1.3206,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  1.117,                 1.3165,                0.67553,                   1.06,                0.88491,                0.78879,                0.85225,                0.47917,                0.71589,                0.62069,                 0.5882,                0.15996,                 1.4993,                 2.3388,                0.91313,                 1.3239,               3.98e-05,               3.98e-05,               3.98e-05
